type_label,support_bin,count,mean
cross-linked,1,6699,0.0049261083743842365
cross-linked,11+,2877,0.0024330900243309003
cross-linked,2,3966,0.008068582955118508
cross-linked,3-5,5428,0.005158437730287398
cross-linked,6-10,3193,0.0031318509238960224
loop-linked,1,585,0.0017094017094017094
loop-linked,11+,91,0.0
loop-linked,2,286,0.0
loop-linked,3-5,326,0.0
loop-linked,6-10,158,0.0
mono-linked,1,2211,0.0067842605156037995
mono-linked,11+,636,0.0
mono-linked,2,1118,0.007155635062611807
mono-linked,3-5,1587,0.000630119722747322
mono-linked,6-10,821,0.0
