type_label,support_bin,count,mean
cross-linked,1,23582,0.016750063607836485
cross-linked,11+,10673,0.010681158062400449
cross-linked,2,13945,0.016421656507708857
cross-linked,3-5,19508,0.015429567356981751
cross-linked,6-10,11666,0.013372192696725528
loop-linked,1,1062,0.002824858757062147
loop-linked,11+,175,0.0
loop-linked,2,534,0.0056179775280898875
loop-linked,3-5,574,0.0017421602787456446
loop-linked,6-10,290,0.0
mono-linked,1,4081,0.005145797598627788
mono-linked,11+,1146,0.0008726003490401396
mono-linked,2,2031,0.0029542097488921715
mono-linked,3-5,2943,0.0020387359836901123
mono-linked,6-10,1497,0.002004008016032064
