type_label,support_bin,count,mean
cross-linked,1,22,0.0
cross-linked,11+,1541,0.031148604802076575
cross-linked,2,1983,0.014120020171457387
cross-linked,3-5,2586,0.01237432327919567
cross-linked,6-10,1629,0.012277470841006752
loop-linked,1,624,0.011217948717948718
loop-linked,11+,172,0.0
loop-linked,2,471,0.004246284501061571
loop-linked,3-5,550,0.0018181818181818182
loop-linked,6-10,255,0.0
mono-linked,1,4418,0.004526935264825713
mono-linked,11+,1287,0.000777000777000777
mono-linked,2,2746,0.003641660597232338
mono-linked,3-5,3835,0.0005215123859191656
mono-linked,6-10,2068,0.0
