# overall
total_targets	matched	unmatched	total_target_len	total_decoy_len	total_target_K	total_target_R	total_decoy_K	total_decoy_R
2353	2352	1	795788	791195	57114	33673	56123	34712

# per_target
target_name	decoy_name	target_len	decoy_len	len_diff	target_K	target_R	target_KR	decoy_K	decoy_R	decoy_KR	kr_diff	score
sp|P13800|DEGU_BACSU	sp|Q12084|DAS2_YEAST	229	232	3	13	13	26	15	11	26	0	3
sp|P37877|ACKA_BACSU	sp|Q07716|AIM6_YEAST	395	390	5	23	17	40	27	13	40	0	5
sp|P94593|YWQA_BACSU	sp|P40547|VID28_YEAST	922	921	1	56	46	102	71	31	102	0	1
sp|O07008|GANR_BACSU	sp|P11353|HEM6_YEAST	330	328	2	22	18	40	19	21	40	0	2
sp|P96674|YDEQ_BACSU	sp|P34760|TSA1_YEAST	197	196	1	13	7	20	14	6	20	0	1
sp|P26907|GSIB_BACSU	sp|P39972|YEI5_YEAST	123	122	1	16	4	20	13	7	20	0	1
sp|O31665|MTNE_BACSU	sp|P53934|CARME_YEAST	398	400	2	22	17	39	22	17	39	0	2
sp|O31618|THIG_BACSU	sp|P47053|YJE3_YEAST	256	257	1	13	10	23	9	14	23	0	1
sp|P45866|FADF_BACSU	sp|P25375|PRTD_YEAST	705	712	7	45	34	79	60	19	79	0	7
sp|O06974|GNGF_BACSU	sp|P32910|RPC6_YEAST	317	317	0	20	14	34	27	7	34	0	0
sp|Q02112|LYTA_BACSU	sp|P38171|YBJ6_YEAST	102	102	0	8	1	9	4	5	9	0	0
sp|Q9JMQ1|EXUR_BACSU	sp|P42836|PFA3_YEAST	333	336	3	22	14	36	14	22	36	0	3
sp|P23966|MENB_BACSU	sp|P08593|MSS18_YEAST	271	268	3	17	14	31	17	14	31	0	3
sp|Q45600|YYDB_BACSU	sp|Q04412|AGE1_YEAST	481	482	1	46	15	61	40	21	61	0	1
sp|P94405|YCLC_BACSU	sp|P38770|BRL1_YEAST	473	471	2	25	19	44	26	18	44	0	2
sp|O32057|YRZF_BACSU	sp|P20434|RPAB1_YEAST	215	215	0	24	10	34	17	17	34	0	0
sp|O05262|RHAB_BACSU	sp|P00937|TRPG_YEAST	485	484	1	32	20	52	34	18	52	0	1
sp|O31706|MOAD_BACSU	sp|Q8TGN7|YG270_YEAST	77	72	5	4	0	4	2	2	4	0	5
sp|P96684|YDFG_BACSU	sp|Q08915|YO392_YEAST	147	147	0	8	11	19	12	7	19	0	0
sp|P39070|CLPQ_BACSU	sp|Q12262|CENPH_YEAST	181	181	0	13	8	21	12	9	21	0	0
sp|P54377|GCSPB_BACSU	sp|Q12060|HFI1_YEAST	488	488	0	29	25	54	33	21	54	0	0
sp|P39135|SFP_BACSU	sp|P47056|IRC18_YEAST	224	224	0	17	12	29	21	8	29	0	0
sp|P96614|CSHA_BACSU	sp|P27697|COQ8_YEAST	494	501	7	35	41	76	46	30	76	0	7
sp|P39761|ADEC_BACSU	sp|P38971|ALP1_YEAST	577	573	4	32	16	48	24	24	48	0	4
sp|O34476|CYSM_BACSU	sp|P53332|COAD_YEAST	311	305	6	18	12	30	17	13	30	0	6
sp|P54955|SCMP_BACSU	sp|Q02606|CIP1_YEAST	380	381	1	16	19	35	12	23	35	0	1
sp|P45871|YWKD_BACSU	sp|P40057|YER4_YEAST	128	128	0	8	7	15	8	7	15	0	0
